# Segments csv adapted from original eval_segments provided by audioset
# num_ytids=Dunno, num_segs=Dunno, num_unique_labels=Dunno, num_positive_labels=Dunno
# YTID, start_seconds, end_seconds, positive_labels
hZzgERKfXqE, 30.000, 40.000, "/m/014zdl,/m/07qsvvw,/m/09x0r"
dq_8LHMQME8, 23.000, 33.000, "/m/014zdl,/m/07qsvvw,/m/09x0r"
-5EYBhN62f4, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
YJe48bbkZM8, 180.000, 190.000, "/m/0jb2l,/m/0ngt1"
OcJAdW8E_00, 0.000, 7.000, "/m/014zdl,/m/07qsvvw"
EX45nYB25tM, 60.000, 70.000, "/m/03m9d0z,/t/dd00092"
-MY6rcWY_S0, 130.000, 140.000, "/m/06mb1"
5J7hT28kUiQ, 30.000, 40.000, "/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038"
2JULbhgKzUE, 20.000, 30.000, "/m/019jd,/m/02rlv9,/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
-Sb_8qQEjmg, 120.000, 130.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
YgrElDguv8I, 30.000, 40.000, "/m/014zdl,/m/09x0r"
8if3r6MpcVk, 30.000, 40.000, "/m/06mb1"
77YX1V-mPcY, 70.000, 80.000, "/m/019jd,/m/03m9d0z,/m/056ks2,/t/dd00092"
f_-A5zq1-Oc, 9.000, 19.000, "/m/014zdl,/m/07qsvvw,/m/09x0r"
PVRKoqygXXI, 20.000, 30.000, "/m/032s66"
RMFvZa5M9Zg, 140.000, 150.000, "/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038"
8OP-IDpFQqs, 30.000, 40.000, "/m/02_41,/m/09x0r"
RWz-GcCvpgI, 30.000, 40.000, "/m/0jb2l,/m/0ngt1"
NEVVJdXpsmA, 70.000, 80.000, "/m/06mb1"
4Cw-tLwMrRc, 90.000, 100.000, "/m/03m9d0z,/m/07yv9,/t/dd00128"
