# Segments csv adapted from original balanced_train_segments provided by audioset
# num_ytids=582, num_segs=582, num_unique_labels=7, num_positive_labels=Dunno
# YTID, start_seconds, end_seconds, positive_labels
--aaILOrkII, 200.000, 210.000, "/m/032s66,/m/073cg4"
-99daJhXYJY, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
-JKLmqDk9p8, 490.000, 500.000, "/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038"
-JOKwS64mRU, 150.000, 160.000, "/m/019jd,/m/03m9d0z,/m/06q74,/t/dd00092"
-RAdrtCW1hI, 70.000, 80.000, "/m/032s66,/m/073cg4"
-Uw2HHni78U, 80.000, 90.000, "/m/0jb2l,/m/0ngt1"
-b_10b-orX4, 50.000, 60.000, "/m/02_41"
-cQV8iXK3pQ, 0.000, 10.000, "/m/032s66,/m/0_1c"
-cWrzrfVdMQ, 250.000, 260.000, "/m/032s66,/m/073cg4"
-fwZGpmJNhw, 40.000, 50.000, "/m/019jd,/m/034srq,/m/03m9d0z,/m/05kq4,/m/06q74,/t/dd00092"
-i-9C48tduw, 500.000, 510.000, "/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1"
-tL4aWGx01s, 30.000, 40.000, "/m/019jd,/m/03m9d0z,/m/0hsrw,/t/dd00092"
-uSlzn9oPQ4, 20.000, 30.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
0-DkUF7TnnI, 60.000, 70.000, "/m/06mb1,/m/07r10fb"
09zT8qlC384, 30.000, 40.000, "/m/06mb1,/m/07r10fb,/t/dd00038"
0HDoqcA727o, 30.000, 40.000, "/m/032s66,/m/0_1c"
0Qj73JaG8Ik, 30.000, 40.000, "/m/06mb1,/m/07r10fb,/t/dd00038"
0YsXXGEVmy8, 30.000, 40.000, "/m/06mb1,/m/07r10fb,/t/dd00038"
0o4vHYlTPBA, 210.000, 220.000, "/m/019jd,/m/03m9d0z,/m/06q74,/t/dd00092"
0rcgzQpsWYs, 30.000, 40.000, "/m/02_41"
