# Segments csv adapted from original unbalanced_train_segments provided by audioset
# num_ytids=15975, num_segs=15970, num_unique_labels=7, num_positive_labels=Dunno
# YTID, start_seconds, end_seconds, positive_labels
--2u0ZyO3x0, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
--Aig9EHjy0, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
--Bu2xe4OSo, 430.000, 440.000, "/m/019jd,/m/03m9d0z,/m/07qwyj0,/m/07yv9,/m/09x0r,/t/dd00092,/t/dd00129"
--PG66A3lo4, 80.000, 90.000, "/m/032s66,/m/04zjc"
--RBwc_VFYA, 30.000, 40.000, "/m/06mb1,/m/07r10fb"
--ahHsLBT7I, 110.000, 120.000, "/m/03m9d0z,/t/dd00092"
--vaR52CM6k, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
--xDCyf8_so, 10.000, 20.000, "/m/03m9d0z,/t/dd00092"
--zDqIhJ-EM, 10.000, 20.000, "/m/032s66"
-02sZMlMYIk, 350.000, 360.000, "/m/06mb1,/m/09x0r"
-0hzj4pp4I8, 210.000, 220.000, "/m/019jd,/m/03m9d0z,/t/dd00092"
-0kLxY8r5VY, 0.000, 7.000, "/m/032s66,/m/0c1dj"
-17PBbWKfzs, 10.000, 20.000, "/m/03m9d0z,/m/09x0r"
-1Hu_O-dosg, 30.000, 40.000, "/m/014zdl,/m/0g6b5"
-1Rs-GV7Mvg, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-1SVaxMl9JE, 90.000, 100.000, "/m/032s66,/m/09x0r"
-23mcDyOrw4, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-26MT40O-2Q, 10.000, 20.000, "/m/032s66"
-2CFBsjxxzw, 30.000, 40.000, "/m/014zdl,/m/07yv9,/m/0_1c"
-2vjhtBImFE, 30.000, 40.000, "/m/014zdl,/m/09x0r"
-39Vd0B4pXw, 5.000, 15.000, "/m/014zdl,/m/07qsvvw"
-39bG3uhNFw, 230.000, 240.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
-3lYmHGfkX4, 250.000, 260.000, "/m/032s66"
-4QhQXNiq5s, 90.000, 100.000, "/m/03m9d0z"
-4ano7snqlI, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
-4oaJqx8eMk, 20.000, 30.000, "/m/032s66"
-50rrCHxUSs, 20.000, 30.000, "/m/032s66"
-55ndPicfmY, 20.000, 30.000, "/m/032s66"
-5EYBhN62f4, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-5rAPTYOTbU, 10.000, 20.000, "/m/032s66"
-5weqk40jaI, 17.000, 27.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
-6HGsGSiC64, 0.000, 8.000, "/m/06mb1"
-6izN98y0Hk, 390.000, 400.000, "/m/019jd,/m/03m9d0z,/m/0hsrw,/t/dd00092"
-7FZiRy84o8, 60.000, 70.000, "/m/032s66,/m/04zjc"
-7TpSmofVDo, 30.000, 40.000, "/m/06mb1"
-7U9TFPrum8, 17.000, 27.000, "/m/03m9d0z,/t/dd00092"
-7WmP4nuGDw, 50.000, 60.000, "/m/032s66,/m/04zjc"
-7dcq0-6-dc, 90.000, 100.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
-7vTqfW7NP8, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-85GJXdDiaE, 60.000, 70.000, "/m/032s66"
-88hDH6LtyI, 80.000, 90.000, "/m/06mb1,/m/07r10fb,/t/dd00038"
-8CUb1wvA1s, 490.000, 500.000, "/m/02z32qm,/m/032s66,/m/04rlf"
-8NsBnMrWNI, 26.000, 36.000, "/m/014zdl,/m/04rlf,/m/07qsvvw,/m/09x0r"
-8_WW57c8S0, 530.000, 540.000, "/m/032s66"
-8zBLVqsCZU, 30.000, 40.000, "/m/032s66,/m/04zjc"
-9Oa2jvNCeY, 30.000, 40.000, "/m/014zdl,/m/04rlf,/m/09x0r"
-9XmXoOdb68, 30.000, 40.000, "/m/032s66,/m/04zjc"
-9jguMTsT_k, 430.000, 440.000, "/m/06mb1,/m/09x0r"
-A8YCVunrGk, 0.000, 10.000, "/m/0ngt1"
-AAoQGFqftw, 120.000, 130.000, "/m/032s66,/m/073cg4"
-AfTD-pqvKU, 300.000, 310.000, "/m/032s66"
-Au1fPPMjtM, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-AymlqMV-kU, 70.000, 80.000, "/m/03m9d0z,/t/dd00092"
-B8ZLJSiDa0, 0.000, 10.000, "/m/06mb1,/t/dd00038"
-BPcjlI7-R4, 30.000, 40.000, "/m/0ngt1"
-BPxYc16VZ4, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
-BUWGM7qeUM, 10.000, 20.000, "/m/06mb1"
-BZD5cNDyNc, 380.000, 390.000, "/m/03m9d0z,/t/dd00092"
-BavAxXARG4, 500.000, 510.000, "/m/06mb1"
-BbO7aTFscE, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-C3rrh6dDjE, 0.000, 10.000, "/m/02_41,/m/03m9d0z,/t/dd00092"
-CGRNKyzlzk, 0.000, 6.000, "/m/034srq,/m/03m9d0z,/m/05kq4"
-CL9RufXTpI, 15.000, 25.000, "/m/03m9d0z,/t/dd00092"
-Chm_TzeYjA, 40.000, 50.000, "/m/03m9d0z,/m/06mb1,/m/09t49"
-CsVvYRXa2A, 330.000, 340.000, "/m/032s66"
-D35UR-O3Gw, 30.000, 40.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
